,COMMENTS
151,沒用到時馬來西亞就發射炸彈直接炸掉總統府了
152,Kyo Ah 她的名字叫雨心
153,Ah Kyo 哈哈😄
154,Fong Eugene 和你差个字
155,欠債還錢
156,不判死刑也可以，先把兇手的小雞雞刴掉了先。
157,菜省長治理無方 ，又因為利益死賴不走
158,台湾乱七八糟黑社会又多
159,槟榔也是毒品 吃了会逼的会上瘾
160,还讲人家国家乱，台湾诈骗第一联随机杀人也第一
161,看了這個新聞心中很難過，因為大馬就像我第二個家，我覺得台灣對不起這位大馬學生....但是要還這位被殺的學生公道，應該很難我可以保證，殺死大馬學生的兇手不會判處死刑，因為有“廢死聯盟”現在政府也是支持廢死，他們一定盡全力援救兇手再加上台灣有恐龍法官，所以我預估九成這兇手不會判處死刑。
162,白小燕女儿被杀，还有很多类似的案件。馆長被开槍，好彩收不到他的命。到这大马留学生被杀，呆丸怎么了？办案没新加坡警察的用心和认真落力，没新加坡法官的明察，严勵处法，求情反得更重邢法。杀人关到死或被吊死。没呆丸法官，呆腦为犯案者脱罪。导致呆丸近几些年一直有这类案件发生，改正法律邢法，对证办案，重大杀害案，以死罪处理。
163,法律在保護吸毒犯.神經病…？自律神經失調…？
164,那來的安全，家庭家暴事件，兒童虐童件，性侵案件ㄧ大堆，代表國家安全不足，人民生命受到威脅
165,台灣殺人不判死！
166,請問這世上到底哪個人的手臂沒有肉的啦！形容的那麼模糊乾脆不要形容。
167,殺人不用死一刑
168,選了這種狗屎民進黨政府 社會案件 食安 貪污 空汙 樣樣來
169,馬哈迪可能連台灣人都要一起殺不足惜了吧！幫他國民報仇，真是拖了這位年輕變態男的光，反正又不會判死，他沒在怕的啦，台灣找小姐又那樣貴，又沒公娼，可能他連菜總統的命量肛交都找不到男伴當個死變態，悲哀啊這人！
170,还以为到台湾留学会比邻国便宜
171,台湾变态真多
172,无关国家，是哪国的受害者一样惋惜！不过台湾司法真的令人堪忧啊，很多罪犯杀人甚至杀害亲人，都不会重判，因为都～“可教化” 🤦🏻‍♀️
173,閹割
174,人家一个女生离乡别井，去台湾读书，你却狠心把人杀死，你这种人一定要死！等天收！😡😡😡😡
175,可教化才可悲
176,是否你也可以1.！
177,殺人犯傳教士父母出來！奉主耶穌基督的聖名，你出來跟大家講清楚，你兒子為什麼會性侵別人的女兒？為什麼會殺人？你是不是常常性侵你的兒子？出來嘛，我很好奇。冤有頭，債有主，你們這班傳教是假，斂財為實的騙子是跑不掉的，一個也跑不掉。奉主耶穌的聖名，你們出來講淸楚。
178,嫌犯父母已同意一命换一命，交给社会去解决吧😏
179,Miko Choong
180,变态到去杀人。没死也没用了
181,Kelly Lee
182,World watching
183,蔡英文想当台湾独立后的第一任女皇帝，现代武则天，唯有牺牲人民做陪葬品，如果打败仗也无所谓，一个绝对好的借口把台湾所有的金条搬走当自己的，可以过着一辈子荣华富贵的流亡女总统生活，其实可比上当年的慈禧太后的晚年的富贵荣华的生活，好过卸任后过回平民百姓的日子，让人民唾弃，以后武统捉去北京受刑
184,Tan Li Fei
185,pukima
186,邢芷薇
187,Hannah L
188,如果我们台湾人被香港曱甴年轻人感染到更加不敢设想
189,我个人认为！也是个人的看法！自己国家大把多大学？也有好多不錯的大学？也不是—样培养出几多人才！做么要去到他国？？？？？
190,支持执行死刑
191,Carmen Lim haih...
192,Sasori Hayato 要小心！
193,Su Jen 真的 怕到爆😨
194,Ah Haw
195,Nicole Tan so sad leh
196,Nicole Lee
197,Carmen Moy call your meimei becareful
198,Xinyee Lim my cousin sis tag her liao
199,台灣如果要辦判死刑必須要要，要有三個條件了
200,台湾的警察抓汽车违规一流，办案三流。
201,恶作剧，亏警察讲得出口！有这样恶作剧的吗？
202,警察也是怎么会以恶作剧来结9月的报案呢？太轻率了！当时有认真追查就不会有今天的命案了！
203,9月底发生那种事之后学校就应该派校警在晚了经常在那里巡逻！
204,黄懷嶔
205,这么可怕严重的事件却被误为恶作剧？怎么可能？
206,一命償一命阿 垃圾
207,Melanie Lim
208,Robert Cop
209,台废
210,Bel Jia Yi Hua
211,Anis Chee 和你朋友说一下
212,Adonis LawKimiyo Miyö
