,COMMENTS
131,居然有人 就一样啊，都是把自己的诅咒合理化而已，只差没付出实际行动。。。。再来，你都会说网民，真的，网民不能代表国人啦。你不看看其他新闻底下留言的，代表所有人民的立场吗？何必跟那些网民一般见识，这样只是降低自己水准罢了，因为连我们自己都成为一份子
132,Cameroon How 不，理论上马来人真喊着报复法国人，而理论上是罗兴亚人该杀。
133,来场大地震收掉台湾这个鬼岛
134,居然有人 那好，依你所说，我们也应该支持穆斯林屠杀法国人，罗兴亚人杀缅甸人咯是不是？以牙还牙嘛
135,Cameroon How 你自己对比一下，看看台湾新闻个案扯全国的和马来西亚这里的有多少咯。
136,居然有人 好吧，那回到正题。既然你说多数他们都那样，你不是全部对吧？
137,Cameroon How 都说了咯，平时他们怎么对人，人就怎么对他
138,居然有人 你是一个人的罪过咯，都已经说了不需要牵扯其他人进来。一个人被害，所以是要台湾的所有人民跟着陪葬？
139,Cameroon How 所以平时我们也没管他们太多，但是你是不是忘了这次这位女生是马来西亚人？
140,居然有人 这都是政治因素啦。其实老实说，我们真的没资格评论别的国家政治事务，毕竟立场不同。就好像如果外国人评论你支持政党，你肯定不爽啦，但是他们哪知道国家内部发生什么事叻，何必咄咄逼人
141,Cameroon How 不好意思，你可以去看看台湾的新闻，只要是报导中国的个案，评论一堆把事情扯到整个中国的，而且赞数极高，只能说台湾平时怎么对人，人家就怎么对他们。
142,居然有人 那是一些偏见人的想法，不能以偏概全。如果大家都这样，其实跟他们有啥区别？
143,Cameroon How 台湾人自己不是中国的一些个案他们扯到整个中国都是一样？
144,Malvin Koh 关其他人什么事喔？
145,Aunty ni cakap banyak pun guna akaun palsu jugak
146,所以馬來西亞也有殺人犯馬來西亞人所有人就該死?#用點腦再說話
147,有一种死刑是问吊，像无比伤痛的钟妈妈说的，让他经历那样的滋味。
148,Kinn Seng Low 留住未来可投票
149,Cy Tan 为什么很珍惜？要留着对抗中国吗？😂
150,政利吕 想得美，台湾法官对可改造年轻人是很珍惜的
151,台湾呛手今日全體再羞息一天
152,我对台湾没有好感，游玩了一次便不想再去。
153,Yuit Yoong Pung 同感。
154,台湾的法律真的不可以
155,妈妈有多痛啊！我看着新闻都哭了。生命啊。。。凶手你是人吗？
156,Florence Chan 人？？凶手连禽兽都不如😡
157,Stanley Wong 也有很多好人的
158,Stanley Wong 凶手不是人
159,好痛好痛啊啊啊啊
160,Florence Chan 不是人
161,把嫌犯捆绑在太阳低下爆晒几天，让他慢慢受折磨的死去为止，这就是一命償一命
162,Betty Loh 记得抹些蜜糖
163,放心，呆灣還是很安全的，你看館長最後也沒事啊
164,Eddie Tan 那是槍手緊張失手而已。。
165,現在台灣判死刑真的很難，希望他得到報應
166,Cy Tan 让它和菜大妈一起住住看
167,黃玉嬋 菜大妈说台湾年轻人是民进党未来，所以得好好保留他们
168,台湾法官说，可教化，要用爱的教育感化罪犯
169,Sunny YS 听说还可以用爱来发电。
170,台湾要跟印度一样了自由行的人要小心
171,我女儿之前讲要去台湾实习，我坚持不准…太恐怖了
172,Anna Kok 那里都有這些事情
173,Anna Kok 法律是有問題的，這個是政府的問題
174,Steven Zhen 我女儿在马来西亚，本国完成学业
175,Steven Zhen 对，因为法律制度的问题
176,Anna Kok在馬來西亞也好不到哪裡去的，只是哪裡法律沒有死刑，如果要去的話要朋友陪伴
177,Anna Kok 建议你还是别给他去 台湾很多那些杀父母 杀女友的案例
178,Alice Soo Kam Far 是的。之前他去台湾做义工我也是很反对的！虽然，罪案到处有，这些东西讲出来也许有些人不认同…
179,"Anna Kok 世界各国都有犯罪发生，不可以避免，但是送孩子去台湾读书父母们就得想清楚咯，台湾大学的文凭很多国家不承认的，不如在大马读私立大学/学院 拿外国文凭。台湾政治，教育，司法，娱乐媒体，统统都很糟糕, 而且变态佬又很多，何必把小孩送去被""洗脑""教育。有💰父母们，大可以送小孩去新加坡或澳洲或中国读书也比送去台湾好。"
180,小灯泡命案中的凶手好像还呼吸着空气。。。。
181,金帛日月 我记得这个，真的很无辜，骑个🚲整个头就被砍下来了。。。
182,这种随机杀人，死100次都不够。。。
183,CW Yong 是啦…我是反对废除死刑的！在大家讨论嫌犯应不应该被判定死刑可不可以被改教时，又有谁还给死者活着的权利？都是这些嫌犯硬生生掠夺了死者的生命！当初大马也讨论过废死，结果反对的声音很多最后就不了了之😏
184,K.m. Wong Jayson 2017年5月12日，士林地方法院一審依對兒童犯殺人罪判處王景玉無期徒刑，褫奪公權終身，法院認定他犯案時明知其行為違法、辨識能力、控制能力均與一般人無異，不能適用刑法第19條規定不罰或減輕其刑，但他罹患思覺失調症，依據已有國內法效力的兩公約中不得對精神障礙者判處死刑的規定，沒有判處死刑，本案還可上訴。
